Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022]
Botswana,BWA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,89.1,101.3
Brazil,BRA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,125.9,143.1
British Virgin Islands,VGB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,101.3,71.1
Brunei Darussalam,BRN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,140.3,223.1
Bulgaria,BGR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,132.4,142.9
Burkina Faso,BFA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,147,153
Burundi,BDI,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,130.3,144.7
Cabo Verde,CPV,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,111.5,124.2
Cambodia,KHM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,105.1,109.3
Cameroon,CMR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,122.3,162.3
Canada,CAN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,121.2,141.7
Cayman Islands,CYM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,92,131.3
Central African Republic,CAF,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,113.1,113.9
Chad,TCD,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,151.3,191.6
Channel Islands,CHI,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Chile,CHL,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,146.8,155
China,CHN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,104.9,114.5
Colombia,COL,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,124.2,172.3
Comoros,COM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,81.2,88.5
"Congo, Dem. Rep.",COD,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,179.2,185.4
"Congo, Rep.",COG,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,129.6,161.2
Costa Rica,CRI,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,105.7,111.1
Cote d'Ivoire,CIV,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,105,114.6
Croatia,HRV,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,123.5,141
Cuba,CUB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,128,139.8
Curacao,CUW,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,123.2938058933,..
Cyprus,CYP,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,111.6,126.5
Czechia,CZE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,128.4,128
Denmark,DNK,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,122.2,125
Djibouti,DJI,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,118,131.8
Dominica,DMA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,105.8,115.9
Dominican Republic,DOM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,111.7,116.1
Ecuador,ECU,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,125.3,151.7
